Sample_ID,AOI,Slide,SlideID,Size,Tissue
DSP-1001660008440-A01,0,NA,NA,NA,NTC
DSP-1001660008440-A02,1,1,DSPCNVe1-S1-8nM,600,SKBR3
DSP-1001660008440-A03,2,1,DSPCNVe1-S1-8nM,600,BT474
DSP-1001660008440-A04,3,1,DSPCNVe1-S1-8nM,200,BT474
DSP-1001660008440-A05,4,1,DSPCNVe1-S1-8nM,50,BT474
DSP-1001660008440-A06,5,1,DSPCNVe1-S1-8nM,600,BT474
DSP-1001660008440-A07,6,1,DSPCNVe1-S1-8nM,200,BT474
DSP-1001660008440-A08,7,1,DSPCNVe1-S1-8nM,50,BT474
DSP-1001660008440-A09,8,1,DSPCNVe1-S1-8nM,600,MCF7
DSP-1001660008440-A10,9,1,DSPCNVe1-S1-8nM,600,MDAMB468
DSP-1001660008440-A11,10,1,DSPCNVe1-S1-8nM,600,MDAMB231
DSP-1001660008440-A12,11,1,DSPCNVe1-S1-8nM,600,CD45H
DSP-1001660008440-B01,12,1,DSPCNVe1-S1-8nM,600,CD45H
DSP-1001660008440-B02,13,1,DSPCNVe1-S1-8nM,600,CD45H
DSP-1001660008440-B03,14,1,DSPCNVe1-S1-8nM,600,CD45H
DSP-1001660008440-B04,15,1,DSPCNVe1-S1-8nM,600,CD45L
DSP-1001660008440-B05,16,1,DSPCNVe1-S1-8nM,600,CD45L
DSP-1001660008440-B06,17,1,DSPCNVe1-S1-8nM,600,CD45L
DSP-1001660008440-B07,18,1,DSPCNVe1-S1-8nM,600,CD45L
DSP-1001660008440-B08,19,2,DSPCNVe1-S2,600,SKBR3
DSP-1001660008440-B09,20,2,DSPCNVe1-S2,600,BT474
DSP-1001660008440-B10,21,2,DSPCNVe1-S2,200,BT474
DSP-1001660008440-B11,22,2,DSPCNVe1-S2,50,BT474
DSP-1001660008440-B12,23,2,DSPCNVe1-S2,600,BT474
DSP-1001660008440-C01,24,2,DSPCNVe1-S2,200,BT474
DSP-1001660008440-C02,25,2,DSPCNVe1-S2,50,BT474
DSP-1001660008440-C03,26,2,DSPCNVe1-S2,600,MCF7
DSP-1001660008440-C04,27,2,DSPCNVe1-S2,600,MDAMB468
DSP-1001660008440-C05,28,2,DSPCNVe1-S2,600,MDAMB231
DSP-1001660008440-C06,29,2,DSPCNVe1-S2,600,CD45H
DSP-1001660008440-C07,30,2,DSPCNVe1-S2,600,CD45H
DSP-1001660008440-C08,31,2,DSPCNVe1-S2,600,CD45H
DSP-1001660008440-C09,32,2,DSPCNVe1-S2,600,CD45H
DSP-1001660008440-C10,33,2,DSPCNVe1-S2,600,CD45L
DSP-1001660008440-C11,34,2,DSPCNVe1-S2,600,CD45L
DSP-1001660008440-C12,35,2,DSPCNVe1-S2,600,CD45L
DSP-1001660008440-D01,36,2,DSPCNVe1-S2,600,CD45L
DSP-1001660008440-D02,37,3,DSPCNVe1-S3,600,SKBR3
DSP-1001660008440-D03,38,3,DSPCNVe1-S3,600,BT474
DSP-1001660008440-D04,39,3,DSPCNVe1-S3,200,BT474
DSP-1001660008440-D05,40,3,DSPCNVe1-S3,50,BT474
DSP-1001660008440-D06,41,3,DSPCNVe1-S3,600,BT474
DSP-1001660008440-D07,42,3,DSPCNVe1-S3,200,BT474
DSP-1001660008440-D08,43,3,DSPCNVe1-S3,50,BT474
DSP-1001660008440-D09,44,3,DSPCNVe1-S3,600,MCF7
DSP-1001660008440-D10,45,3,DSPCNVe1-S3,600,MDAMB468
DSP-1001660008440-D11,46,3,DSPCNVe1-S3,600,MDAMB231
DSP-1001660008440-D12,47,3,DSPCNVe1-S3,600,CD45H
DSP-1001660008440-E01,48,3,DSPCNVe1-S3,600,CD45H
DSP-1001660008440-E02,49,3,DSPCNVe1-S3,600,CD45H
DSP-1001660008440-E03,50,3,DSPCNVe1-S3,600,CD45H
DSP-1001660008440-E04,51,3,DSPCNVe1-S3,600,CD45L
DSP-1001660008440-E05,52,3,DSPCNVe1-S3,600,CD45L
DSP-1001660008440-E06,53,3,DSPCNVe1-S3,600,CD45L
DSP-1001660008440-E07,54,3,DSPCNVe1-S3,600,CD45L
DSP-1001660008440-E08,55,5,DSPCNVe1-S5,600,SKBR3
DSP-1001660008440-E09,56,5,DSPCNVe1-S5,600,BT474
DSP-1001660008440-E10,57,5,DSPCNVe1-S5,200,BT474
DSP-1001660008440-E11,58,5,DSPCNVe1-S5,50,BT474
DSP-1001660008440-E12,59,5,DSPCNVe1-S5,600,BT474
DSP-1001660008440-F01,60,5,DSPCNVe1-S5,200,BT474
DSP-1001660008440-F02,61,5,DSPCNVe1-S5,50,BT474
DSP-1001660008440-F03,62,5,DSPCNVe1-S5,600,MCF7
DSP-1001660008440-F04,63,5,DSPCNVe1-S5,600,MDAMB468
DSP-1001660008440-F05,64,5,DSPCNVe1-S5,600,MDAMB231
DSP-1001660008440-F06,65,5,DSPCNVe1-S5,600,CD45H
DSP-1001660008440-F07,66,5,DSPCNVe1-S5,600,CD45H
DSP-1001660008440-F08,67,5,DSPCNVe1-S5,600,CD45H
DSP-1001660008440-F09,68,5,DSPCNVe1-S5,600,CD45H
DSP-1001660008440-F10,69,5,DSPCNVe1-S5,600,CD45L
DSP-1001660008440-F11,70,5,DSPCNVe1-S5,600,CD45L
DSP-1001660008440-F12,71,5,DSPCNVe1-S5,600,CD45L
DSP-1001660008440-G01,72,5,DSPCNVe1-S5,600,CD45L
